n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
1,41,46,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,43,49,47
2,41,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,45,41,-100,-100
3,31,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,28,39,36
4,4,7,9,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,1,9,-100,-100
5,31,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,38,27,11,34
6,4,7,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,8,51,12,7
7,4,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,3,4,-100,-100
8,13,14,20,21,31,46,-100,-100,-100,-100,-100,-100,-100,3,14,-100,-100,-100
9,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,42,46,-100,-100
10,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,18,31,-100
11,20,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,22,26,24,21
12,13,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,32,5,20,-100
13,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,25,29,17,13
1,42,45,49,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,47,41,52
2,12,28,29,31,33,34,42,45,49,-100,-100,-100,-100,3,28,-100,-100,-100
3,42,45,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,51,48,42,-100
4,29,31,33,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,32,35,34,-100
5,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,7,9,12
6,29,31,33,45,49,-100,-100,-100,-100,-100,-100,-100,-100,3,29,-100,-100,-100
7,45,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,43,2,45,-100
8,14,16,17,31,33,49,-100,-100,-100,-100,-100,-100,-100,3,14,-100,-100,-100
9,16,17,31,33,49,-100,-100,-100,-100,-100,-100,-100,-100,2,10,16,-100,-100
10,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,46,3,49,-100
11,17,31,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,17,-100,-100,-100
12,31,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,44,11,31,-100
13,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,27,8,33,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,46,47,48,51,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,44,50,51,-100
3,5,29,46,47,48,-100,-100,-100,-100,-100,-100,-100,-100,3,29,-100,-100,-100
4,46,47,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,43,41,46,-100
5,5,47,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,47,-100,-100,-100
6,5,16,17,18,20,21,25,48,-100,-100,-100,-100,-100,2,28,16,-100,-100
7,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,13,12,5,-100
8,17,18,20,21,25,-100,-100,-100,-100,-100,-100,-100,-100,1,19,22,25,-100
9,17,18,20,21,48,-100,-100,-100,-100,-100,-100,-100,-100,3,17,-100,-100,-100
10,18,20,21,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,32,37,35,18
11,20,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,14,8,20,-100
12,21,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,48,-100,-100,-100
13,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,21,-100,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,8,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,2,11,1,9
3,29,35,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,31,33,29,-100
4,43,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,44,42,21,43
5,14,20,22,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,17,46,26,14
6,20,22,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,15,20,-100,-100
7,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,49,50,5,48
8,35,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,38,27,36,-100
9,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,28,32,35,-100
10,8,22,23,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,45,-100,-100,-100
11,8,22,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,8,-100,-100,-100
12,22,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,18,51,19,22
13,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,23,-100,-100,-100
1,41,44,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,48,49,46
2,41,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,50,41,-100,-100
3,3,5,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,4,3,-100,-100
4,5,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,11,10,-100
5,28,31,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,38,27,34,33
6,28,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,29,30,28
7,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,7,6,9,5
8,14,16,21,22,31,44,-100,-100,-100,-100,-100,-100,-100,2,2,14,-100,-100
9,16,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,19,16,-100,-100
10,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,37,35,32,31
11,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,20,26,25,21
12,44,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,42,47,44,-100
13,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,24,52,18,22
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,1,2,3,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,12,8,1,-100
3,2,3,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,13,26,2,-100
4,14,17,21,22,23,-100,-100,-100,-100,-100,-100,-100,-100,1,20,25,14,-100
5,3,6,17,21,22,23,30,34,36,-100,-100,-100,-100,2,41,17,-100,-100
6,3,6,21,22,23,30,34,36,-100,-100,-100,-100,-100,0,47,10,50,23
7,3,6,21,22,30,34,36,-100,-100,-100,-100,-100,-100,2,43,21,-100,-100
8,3,6,22,30,34,36,-100,-100,-100,-100,-100,-100,-100,0,45,15,48,22
9,30,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,35,30,-100,-100
10,3,6,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,24,33,34,-100
11,3,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,9,42,3,-100
12,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,28,31,38,36
13,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,39,6,-100,-100
1,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,45,-100,-100
2,2,6,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,11,4,13,-100
3,2,6,30,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,30,-100,-100,-100
4,2,6,14,15,16,19,20,22,24,31,-100,-100,-100,0,51,41,49,14
5,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,29,21,31
6,2,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,9,18,1,2
7,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,7,26,5,6
8,15,16,19,20,22,24,-100,-100,-100,-100,-100,-100,-100,0,34,28,10,15
9,16,19,20,22,24,-100,-100,-100,-100,-100,-100,-100,-100,0,32,39,43,16
10,19,20,22,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,44,48,19,-100
11,20,22,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,12,20,-100,-100
12,22,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,50,22,-100,-100
13,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,24,-100,-100
1,41,50,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,49,44,52
2,1,4,6,10,12,28,32,33,37,41,50,-100,-100,3,1,-100,-100,-100
3,4,6,10,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,11,3,12,-100
4,4,6,10,28,32,33,37,41,50,-100,-100,-100,-100,3,28,-100,-100,-100
5,41,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,46,42,41,-100
6,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,43,9,26,50
7,4,6,10,25,32,33,37,-100,-100,-100,-100,-100,-100,3,4,-100,-100,-100
8,6,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,2,14,6,-100
9,10,25,32,33,37,-100,-100,-100,-100,-100,-100,-100,-100,3,32,-100,-100,-100
10,25,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,24,25,-100,-100
11,10,33,37,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,33,-100,-100,-100
12,37,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,30,37,-100,-100
13,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,10,-100,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,1,5,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,10,8,1,-100
3,27,35,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,34,30,27,-100
4,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,44,41,46,50
5,5,6,35,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,5,-100,-100,-100
6,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,6,-100,-100
7,16,17,18,19,20,35,38,-100,-100,-100,-100,-100,-100,1,42,45,16,-100
8,35,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,31,32,33,38
9,17,18,19,20,35,-100,-100,-100,-100,-100,-100,-100,-100,3,17,-100,-100,-100
10,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,23,28,35
11,18,19,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,18,-100,-100,-100
12,19,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,14,19,-100,-100
13,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,52,47,20,-100
1,43,47,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,40,48,-100,-100
2,27,29,30,34,36,-100,-100,-100,-100,-100,-100,-100,-100,1,32,33,27,-100
3,43,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,41,43,-100,-100
4,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,52,44,47,-100
5,3,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,5,7,3,-100
6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,12,11,-100,-100
7,29,30,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,35,34,-100,-100
8,29,30,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,39,37,29,-100
9,16,19,20,30,36,-100,-100,-100,-100,-100,-100,-100,-100,1,4,9,16,-100
10,19,20,30,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,45,19,-100,-100
11,20,30,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,6,20,-100,-100
12,30,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,25,15,14,30
13,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,26,24,23,36
1,42,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,50,47,-100
2,30,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,32,37,38,33
3,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,27,30,-100,-100
4,1,2,6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,13,12,8,1
5,2,6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,5,9,3,2
6,6,11,14,16,21,22,23,42,-100,-100,-100,-100,-100,1,35,36,14,-100
7,16,21,22,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,26,16,-100,-100
8,21,22,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,18,23,-100,-100
9,6,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,4,46,10,11
10,6,21,22,42,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,42,-100,-100,-100
11,6,21,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,48,43,21,-100
12,6,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,44,15,22,-100
13,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,31,25,6,-100
1,42,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,52,48,-100
2,27,30,32,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,28,27,-100,-100
3,30,32,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,34,31,32
4,42,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,51,43,49,45
5,42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,50,44,46,42
6,30,38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,33,39,9,38
7,1,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,10,1,-100
8,11,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,11,-100,-100
9,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,12,24,30
10,14,16,18,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,14,-100,-100,-100
11,16,18,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,22,19,20,21
12,16,18,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,17,5,6,16
13,18,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,15,7,41,18
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,30,31,36,37,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,33,38,37
3,18,20,22,26,30,31,36,41,42,45,52,-100,-100,2,13,26,-100,-100
4,18,20,22,30,31,36,41,42,45,52,-100,-100,-100,2,10,18,-100,-100
5,20,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,23,20,-100,-100
6,22,30,31,36,41,42,45,52,-100,-100,-100,-100,-100,2,8,22,-100,-100
7,30,31,36,41,42,45,52,-100,-100,-100,-100,-100,-100,2,25,41,-100,-100
8,30,31,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,34,30,-100,-100
9,31,36,42,45,52,-100,-100,-100,-100,-100,-100,-100,-100,0,5,12,9,36
10,31,42,45,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,16,19,42,-100
11,45,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,44,45,-100,-100
12,31,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,11,17,27,52
13,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,39,49,46,31
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,3,4,9,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,7,2,11,9
3,3,4,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,6,13,-100,-100
4,3,4,27,28,32,34,36,45,50,52,-100,-100,-100,3,27,-100,-100,-100
5,3,4,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,10,4,-100,-100
6,45,50,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,46,45,-100,-100
7,28,32,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,38,33,31,28
8,32,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,39,21,49,36
9,3,32,34,50,52,-100,-100,-100,-100,-100,-100,-100,-100,0,20,19,25,50
10,3,32,34,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,23,52,-100,-100
11,3,32,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,26,32,-100,-100
12,3,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,24,34,-100,-100
13,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,16,3,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,28,32,34,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,33,30,34
3,41,45,48,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,51,7,49,41
4,45,48,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,52,29,11,50
5,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,42,24,10,45
6,5,17,19,23,28,32,39,48,-100,-100,-100,-100,-100,3,28,-100,-100,-100
7,17,19,23,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,22,16,25,23
8,32,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,31,32,-100,-100
9,5,17,19,39,48,-100,-100,-100,-100,-100,-100,-100,-100,3,17,-100,-100,-100
10,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,1,2,36,5
11,19,39,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,48,-100,-100,-100
12,19,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,19,-100,-100,-100
13,39,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,39,-100,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,3,9,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,13,1,10,12
3,28,30,31,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,36,35,32,34
4,3,9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,4,7,11,9
5,47,48,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,41,47,-100,-100
6,3,28,30,31,48,52,-100,-100,-100,-100,-100,-100,-100,3,28,-100,-100,-100
7,17,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,20,24,-100,-100
8,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,2,3,-100
9,17,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,22,14,17,-100
10,30,31,48,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,16,15,48,-100
11,30,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,33,45,39,31
12,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,46,52,-100,-100
13,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,30,-100,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,3,6,7,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,13,11,12,-100
3,43,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,49,50,46,-100
4,3,6,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,8,5,4,7
5,27,30,33,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,39,34,27
6,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,42,48,43,-100
7,3,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,3,-100,-100
8,6,15,17,30,33,36,-100,-100,-100,-100,-100,-100,-100,3,15,-100,-100,-100
9,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,10,6,-100,-100
10,30,33,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,38,30,-100,-100
11,33,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,31,33,-100,-100
12,17,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,17,-100,-100,-100
13,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,29,41,21,36
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,1,5,6,11,12,-100,-100,-100,-100,-100,-100,-100,-100,1,8,9,1,-100
3,14,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,15,14,-100,-100
4,5,6,11,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,4,3,11,-100
5,5,6,12,21,32,34,44,46,48,-100,-100,-100,-100,3,44,-100,-100,-100
6,21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,21,-100,-100
7,46,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,51,46,-100,-100
8,32,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,39,32,-100,-100
9,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,38,34,-100,-100
10,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,45,48,-100,-100
11,5,6,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,5,-100,-100,-100
12,6,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,10,24,6,-100
13,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,20,23,12,-100
1,46,47,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,49,51,48
2,3,5,7,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,9,8,-100,-100
3,27,31,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,38,35,27,-100
4,31,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,33,39,36,-100
5,46,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,43,46,-100,-100
6,3,5,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,11,10,21,7
7,3,5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,4,13,18,5
8,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,37,34,31,-100
9,14,17,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,26,20,14,-100
10,3,17,22,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,28,17,-100
11,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,6,45,3,-100
12,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,24,16,22,-100
13,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,42,19,47,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,1,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,6,5,9,1
3,28,29,31,36,37,-100,-100,-100,-100,-100,-100,-100,-100,2,34,31,-100,-100
4,28,29,36,37,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,39,33,37,-100
5,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,11,3,-100
6,28,29,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,27,28,-100,-100
7,17,24,29,36,41,42,45,-100,-100,-100,-100,-100,-100,3,41,-100,-100,-100
8,17,24,29,36,42,45,-100,-100,-100,-100,-100,-100,-100,1,13,12,17,-100
9,42,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,52,21,42,-100
10,24,29,36,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,7,4,24,-100
11,29,36,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,26,20,29,-100
12,36,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,18,14,45,-100
13,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,16,25,30,36
1,41,45,46,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,44,48,-100
2,41,45,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,47,50,32,41
3,29,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,39,27,34,-100
4,45,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,51,38,46,-100
5,1,2,10,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,3,5,1,-100
6,29,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,31,30,35,29
7,2,10,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,6,2,-100,-100
8,10,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,11,4,13,12
9,10,15,19,22,45,-100,-100,-100,-100,-100,-100,-100,-100,2,28,15,-100,-100
10,19,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,24,21,26,19
11,22,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,14,22,-100,-100
12,10,45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,20,52,23,45
13,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,36,10,-100,-100
1,43,46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,40,44,50,46
2,3,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,7,6,-100,-100
3,3,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,1,3,-100
4,27,28,29,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,36,38,27,-100
5,43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,52,43,-100,-100
6,16,19,20,21,24,28,29,30,-100,-100,-100,-100,-100,2,48,16,-100,-100
7,19,20,21,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,25,19,-100,-100
8,20,21,24,28,29,30,-100,-100,-100,-100,-100,-100,-100,0,2,10,13,24
