n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
12,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,34,-100,-100,-100
13,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,36,-100,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,3,6,12,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,5,12,-100,-100
3,3,6,29,32,34,35,45,47,-100,-100,-100,-100,-100,3,3,-100,-100,-100
4,29,32,34,35,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,39,27,35,-100
5,29,32,34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,33,38,34,-100
6,45,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,44,45,-100,-100
7,29,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,30,28,21,29
8,18,20,24,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,14,16,25,24
9,47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,51,47,-100,-100
10,6,18,20,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,46,18,-100,-100
11,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,15,20,-100,-100
12,6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,7,49,6,-100
13,32,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,8,26,32,-100
1,41,42,43,44,45,48,50,-100,-100,-100,-100,-100,-100,0,40,46,52,50
2,7,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,3,7,-100,-100
3,41,42,43,44,45,48,-100,-100,-100,-100,-100,-100,-100,0,47,49,12,41
4,31,33,37,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,30,38,37,-100
5,31,33,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,34,33,-100,-100
6,42,43,44,45,48,-100,-100,-100,-100,-100,-100,-100,-100,1,51,11,42,-100
7,15,18,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,24,20,15,-100
8,31,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,27,17,29,31
9,18,43,44,45,48,-100,-100,-100,-100,-100,-100,-100,-100,3,43,-100,-100,-100
10,18,44,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,44,-100,-100,-100
11,18,45,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,45,-100,-100,-100
12,18,48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,48,-100,-100,-100
13,18,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,18,-100,-100,-100
1,40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,3,40,-100,-100,-100
2,27,28,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,35,31,27,-100
3,7,10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,2,1,7,-100
4,10,28,30,44,49,-100,-100,-100,-100,-100,-100,-100,-100,3,28,-100,-100,-100
5,44,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,48,44,-100,-100
6,30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,39,30,-100,-100
7,49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,51,49,-100,-100
